score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,band_low,band_high,band_label,n_components,config_name,subject_norm
0.97704476,2.0856082,2304.0,3,1test,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,3
0.7488426,1.6768498,2304.0,4,0train,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,4
0.80748457,1.6768498,2304.0,4,1test,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,4
0.5115741,2.1018698,2304.0,5,0train,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,5
0.619213,2.1018698,2304.0,5,1test,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,5
0.7040895,1.6580102,2304.0,6,0train,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,6
0.6705247,1.6580102,2304.0,6,1test,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,6
0.6643519,2.1426718,2304.0,7,0train,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,7
0.6900077,2.1426718,2304.0,7,1test,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,7
0.99324846,1.7113233,2304.0,8,0train,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,8
0.9836034,1.7113233,2304.0,8,1test,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,8
0.82021606,1.6677821,2304.0,9,0train,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,9
0.7814429,1.6677821,2304.0,9,1test,22,2,BNCI2014-001,band_8_32__csp_10,8,32,8-32,10,band_8_32__csp_10,9
0.57137346,2.0838473,2304.0,1,0train,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,1
0.6739969,2.0838473,2304.0,1,1test,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,1
0.55806327,1.6478319,2304.0,2,0train,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,2
0.5295139,1.6478319,2304.0,2,1test,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,2
0.8159722,2.14315,2304.0,3,0train,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,3
0.80285496,2.14315,2304.0,3,1test,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,3
0.67843366,1.9296961,2304.0,4,0train,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,4
0.7002315,1.9296961,2304.0,4,1test,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,4
0.47743055,1.8558209,2304.0,5,0train,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,5
0.54263115,1.8558209,2304.0,5,1test,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,5
0.69309413,2.061368,2304.0,6,0train,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,6
0.6097608,2.061368,2304.0,6,1test,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,6
0.7370756,1.6627231,2304.0,7,0train,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,7
0.7696759,1.6627231,2304.0,7,1test,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,7
0.990162,2.0100012,2304.0,8,0train,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,8
0.9868827,2.0100012,2304.0,8,1test,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,8
